product,affiliate_url,status,programme,destination_type,network
carepatron,https://get.carepatron.com/57qubyw3gk9y,active,Carepatron Affiliate,homepage,other
clickup,https://try.web.clickup.com/q22d8kyvpi6i,active,ClickUp Affiliate,homepage,other
close,https://refer.close.com/s5a5kgl3dd92,active,Close Affiliate,homepage,other
closely,https://get.closelyhq.com/5hzvlqoo3sx7,active,Closely Affiliate,homepage,other
connecteam,https://partners.connecteam.com/h77a37h9xngf,active,Connecteam Affiliate,homepage,other
contractor-foreman,https://try.contractorforeman.com/3bd4vk7j087f,active,Contractor Foreman Affiliate,homepage,other
databox,https://join.databox.com/1yuo2tivgh97-5b1iq5,active,Databox Affiliate,homepage,other
dext,https://join.dext.com/bqu81rwyh2sr,active,Dext Affiliate,homepage,other
diginius,https://get.diginius.com/ora576t7vdve,active,Diginius Affiliate,homepage,other
elevenlabs,https://try.elevenlabs.io/2tsfz1jc3rce,active,Eleven Labs Inc Affiliate,homepage,other
emergent,https://get.emergent.sh/ojqurtybr0z4,active,Emergent Labs Inc. Affiliate,homepage,other
evolve,https://go.evolveplatform.ai/47u0mjuyc56p,active,Evolve Affiliate,homepage,other
fastmail,https://join.fastmail.com/leemeyeridricks5543,active,Fastmail Affiliate,homepage,other
flexiquiz,https://try.flexiquiz.com/i5qtaz2cxzv9,active,FlexiQuiz Affiliate,homepage,other
flippa,https://referral.flippa.com/nyzykxmdpi62-5i76g,active,Flippa.com Affiliate,homepage,other
folk,https://try.folk.app/rng1ia1n0a51,active,folk Affiliate,homepage,other
foxit,https://partnerstack.foxit.com/toctmtlu4bjy,active,Foxit Affiliate,homepage,partnerstack
freshsales,https://affiliatepartner-freshsales.freshworks.com/umqnj18oe0m7,active,Freshsales Affiliate,homepage,other
gamma,https://try.gamma.app/m8cx9huc5414,active,Gamma Affiliate,homepage,other
getscreen-me,https://try.getscreen.me/uror44gjaujf,active,Getscreen.me Affiliate,homepage,other
getresponse,https://try.getresponsetoday.com/bggogt2lfafv-xlkg1t,active,GetResponse Affiliate,homepage,other
hive,https://get.hive.com/eerwc3eeweji,active,Hive Affiliate,homepage,other
hubspot,https://hubspot.sjv.io/WqWO7n,active,HubSpot Affiliate,homepage,impact
inboxally,https://get.inboxally.com/email-placement-tester-bznqt8ycxvhu,active,InboxAlly Affiliate,homepage,other
jibble,https://affiliate.jibble.io/acciur08fa6h,active,Jibble Affiliate,homepage,other
kartra,https://try.kartra.com/jzs0bc88f4ur,active,Kartra Affiliate,homepage,other
keap,https://get.keap.com/0nqpwzftjbre,active,Keap Affiliate,homepage,other
kit,https://partners.kit.com/wjcqp6b5mv7n-uw04r,active,Kit (formerly ConvertKit) Affiliate,homepage,other
kixie,https://get.kixie.com/g2td1yz9zi5n,active,Kixie Affiliate,homepage,other
krispcall,https://try.krispcall.com/4l3iuvw2crqn,active,KrispCall Communications Inc. Affiliate,homepage,other
learnworlds,https://get.learnworlds.com/eigvvf6yiu74,active,LearnWorlds Affiliate,homepage,other
leadpages,https://try.leadpages.com/p0v2tlud22mf,active,Leadpages Affiliate,homepage,other
lucrovox,https://try.lucrovox.com/fhruhgg6gk78,active,LucroVox Affiliate,homepage,other
lusha,https://partnerstack.lusha.com/x4qgyinabuq1,active,Lusha Affiliate,homepage,partnerstack
mindstudio,https://get.mindstudio.ai/lgjc5c17fkpb,active,MindStudio Affiliate,homepage,other
monday,https://try.monday.com/h9l0vmame38h,active,monday.com Affiliate,homepage,other
mrpeasy,https://try.mrpeasy.com/9apyp927cq1s,active,MRPeasy Affiliate,homepage,other
navan,https://get.navan.com/qt37anemz9g9,active,Navan Affiliate,homepage,other
nicejob,https://try.nicejob.com/ni0oxnp3349z,active,NiceJob Affiliate,homepage,other
office-timeline,https://get.officetimeline.com/gtm3y5ij8cz5,active,Office Timeline Affiliate,homepage,other
pipedrive,https://aff.trypipedrive.com/4nvrdp5mbmb7,active,Pipedrive Affiliate,homepage,other
plesk,https://try.plesk.com/tu2la8fk5ac9-z4f5m7,active,Plesk Affiliate,homepage,other
printify,https://try.printify.com/yutbwcipb7c3,active,Printify Affiliate,homepage,other
quillbot,https://try.quillbot.com/db3a97ce993a,active,QuillBot Affiliate,homepage,other
rank-prompt,https://join.rankprompt.com/7qr6ufz6gjxq-xj5vs,active,Rank Prompt Affiliate,homepage,other
reply,https://get.reply.io/se3w5qrz6hyy,active,Reply.io Affiliate,homepage,other
salesflare,https://go.salesflare.com/d10dqhxqfl23,active,Salesflare Affiliate,homepage,other
sanebox,https://try.sanebox.com/vub7fxpb2g7m,active,SaneBox Affiliate,homepage,other
sendcloud,https://sendcloud.getsc.eu/dl0hxgf7026b-returns,active,Sendcloud Affiliate,homepage,other
shipbob,https://partnerwith.shipbob.com/6ft74869kg22,active,ShipBob Affiliate,homepage,other
shore,https://try.shore.com/vmcpzg5nbg9j,active,Shore Affiliate,homepage,other
shopify,https://shopify.pxf.io/4189861-link?sharedid=4189861,active,Shopify Affiliate,homepage,impact
socialbee,https://get.socialbee.io/txg9o1sie7g4,active,SocialBee Affiliate,homepage,other
snov,https://snov.io?fp_ref=lee13,active,Snov.io Affiliate,homepage,other
spocket,https://get.spocket.co/jpv1uwgt4sp1,active,Spocket Affiliate,homepage,other
switcher-studio,https://start.switcherstudio.com/pqjil7ivf3t7,active,Switcher Studio Affiliate,homepage,other
thordata,https://affiliate.thordata.com/eu3nfozhzp5f,active,ThorData Affiliate,homepage,other
tidio,https://affiliate.tidio.com/9dfzehpzpg2p-8xvu4,active,Tidio Affiliate,homepage,other
trainual,https://start.trainual.com/8kshk4tc5bv4,active,Trainual Affiliate,homepage,other
ueni,https://psc.ueni.com/w640wkjyyhd5,active,UENI.com Affiliate,homepage,other
vektoros,https://partners.vektoros.ai/zg4y82bv06pe,active,VektorOS Affiliate,homepage,other
wati,https://affiliates.wati.io/v2fe9kxh7wq8,active,Wati.io Affiliate,homepage,other
webcatalog,https://try.webcatalog.io/cy80gva63g2w,active,WebCatalog Affiliate,homepage,other
webinarjam-everwebinar,https://try.kartra.com/zltrk281rw6t-26ysr,active,WebinarJam & EverWebinar Affiliate,homepage,other
wegic,https://try.wegic.ai/4p512poiwlw9,active,Wegic Affiliate,homepage,other
whatconverts,https://partners.whatconverts.com/dmbfqglmddkr,active,WhatConverts Affiliate,homepage,other
writesonic,https://writesonic.com?via=lee72,active,Writesonic Affiliate,homepage,other
zenzap,https://try.zenzap.co/7rv36pfxdvvy,active,Zenzap Affiliate,homepage,other
zypper,https://get.zypper.com/980cl4fisuk1,active,Zypper Affiliate,homepage,other
