name,primary_category,affiliate_url,product_slug,catalogue_source_id
"Eleven Labs Inc","AI Voice / Text-to-Speech",https://try.elevenlabs.io/2tsfz1jc3rce,elevenlabs,aff-elevenlabs
"Emergent Labs Inc.","AI App Development",https://get.emergent.sh/ojqurtybr0z4,emergent,aff-emergent
"Evolve","Business Software",https://go.evolveplatform.ai/47u0mjuyc56p,evolve,aff-evolve
"Fastmail","Business Email / Email Hosting",https://join.fastmail.com/leemeyeridricks5543,fastmail,aff-fastmail
"FlexiQuiz","Quiz / Assessment Software",https://try.flexiquiz.com/i5qtaz2cxzv9,flexiquiz,aff-flexiquiz
"Flippa.com","Website / Online Business Marketplace",https://referral.flippa.com/nyzykxmdpi62-5i76g,flippa,aff-flippa
"folk","CRM",https://try.folk.app/rng1ia1n0a51,folk,aff-folk
"Foxit","PDF / Document Management",https://partnerstack.foxit.com/toctmtlu4bjy,foxit,aff-foxit
"Freshcaller","Business Phone / Contact Center",,freshcaller,aff-freshcaller
"Freshchat","Live Chat / Customer Messaging",,freshchat,aff-freshchat
"Freshdesk by Freshworks","Help Desk / Customer Support",,freshdesk,aff-freshdesk
"Freshmarketer","Marketing Automation / CRO",,freshmarketer,aff-freshmarketer
"Freshsales","CRM",https://affiliatepartner-freshsales.freshworks.com/umqnj18oe0m7,freshsales,aff-freshsales
"Freshservice by Freshworks","IT Service Management",,freshservice,aff-freshservice
"Freshteam","HR / Applicant Tracking",,freshteam,aff-freshteam
"Freshworks","CRM / Customer Service Suite",,freshworks,aff-freshworks
"Gamma","AI Presentation / Content Design",https://try.gamma.app/m8cx9huc5414,gamma,aff-gamma
"Getscreen.me","Remote Desktop",https://try.getscreen.me/uror44gjaujf,getscreen-me,aff-getscreen-me
"GetResponse","Email Marketing / Marketing Automation",https://try.getresponsetoday.com/bggogt2lfafv-xlkg1t,getresponse,aff-getresponse
"Hive","Project Management",https://get.hive.com/eerwc3eeweji,hive,aff-hive
"HubSpot","CRM / Marketing Automation",https://hubspot.sjv.io/WqWO7n,hubspot,aff-hubspot
"InboxAlly","Email Deliverability",https://get.inboxally.com/email-placement-tester-bznqt8ycxvhu,inboxally,aff-inboxally
"Instantly","Cold Email / Sales Outreach",,instantly,aff-instantly
"Jibble","Time Tracking / Workforce Management",https://affiliate.jibble.io/acciur08fa6h,jibble,aff-jibble
"Kartra","Marketing Automation / Funnel Builder",https://try.kartra.com/jzs0bc88f4ur,kartra,aff-kartra
"Keap","CRM / Marketing Automation",https://get.keap.com/0nqpwzftjbre,keap,aff-keap
"Kit (formerly ConvertKit)","Email Marketing",https://partners.kit.com/wjcqp6b5mv7n-uw04r,kit,aff-kit
"Kixie","Sales Dialer / Business Phone",https://get.kixie.com/g2td1yz9zi5n,kixie,aff-kixie
"KrispCall Communications Inc.","Business Phone / VoIP",https://try.krispcall.com/4l3iuvw2crqn,krispcall,aff-krispcall
"LearnWorlds","LMS / Online Course Platform",https://get.learnworlds.com/eigvvf6yiu74,learnworlds,aff-learnworlds
"Livestorm","Webinar / Video Conferencing",,livestorm,aff-livestorm
"LucroVox","Business Software",https://try.lucrovox.com/fhruhgg6gk78,lucrovox,aff-lucrovox
"Lusha","Sales Intelligence / Lead Generation",https://partnerstack.lusha.com/x4qgyinabuq1,lusha,aff-lusha
"MindStudio","AI App / Agent Builder",https://get.mindstudio.ai/lgjc5c17fkpb,mindstudio,aff-mindstudio
"monday.com","Project Management / Work Management",https://try.monday.com/h9l0vmame38h,monday,aff-monday-com
"Motion","Productivity / Task Management",,motion,aff-motion
"MRPeasy","Manufacturing ERP / MRP",https://try.mrpeasy.com/9apyp927cq1s,mrpeasy,aff-mrpeasy
"Navan","Business Travel / Expense Management",https://get.navan.com/qt37anemz9g9,navan,aff-navan
"NiceJob","Reputation Management",https://try.nicejob.com/ni0oxnp3349z,nicejob,aff-nicejob
"Office Timeline","Project Management / Presentation",https://get.officetimeline.com/gtm3y5ij8cz5,office-timeline,aff-office-timeline
"Pipedrive","CRM",https://aff.trypipedrive.com/4nvrdp5mbmb7,pipedrive,aff-pipedrive
"Plesk","Web Hosting / Server Management",https://try.plesk.com/tu2la8fk5ac9-z4f5m7,plesk,aff-plesk
"Printify","Print-on-Demand / Ecommerce",https://try.printify.com/yutbwcipb7c3,printify,aff-printify
"QuillBot","AI Writing",https://try.quillbot.com/db3a97ce993a,quillbot,aff-quillbot
"Rank Prompt","AI SEO / Search Marketing",https://join.rankprompt.com/7qr6ufz6gjxq-xj5vs,rank-prompt,aff-rank-prompt
"Reply.io","Sales Engagement / Email Outreach",https://get.reply.io/se3w5qrz6hyy,reply,aff-reply-io
"RocketReach LLC","Contact Data / Lead Generation",,rocketreach,aff-rocketreach
"Salesflare","CRM",https://go.salesflare.com/d10dqhxqfl23,salesflare,aff-salesflare
"SaneBox","Email Productivity",https://try.sanebox.com/vub7fxpb2g7m,sanebox,aff-sanebox
"Sendcloud","Ecommerce Shipping / Returns",https://sendcloud.getsc.eu/dl0hxgf7026b-returns,sendcloud,aff-sendcloud
"Sellfy","Ecommerce / Digital Downloads",https://get.sellfy.com/h8et05cnnokc,sellfy,aff-sellfy
"ShipBob","Ecommerce Fulfillment",https://partnerwith.shipbob.com/6ft74869kg22,shipbob,aff-shipbob
"Shore","Appointment Scheduling / Business Management",https://try.shore.com/vmcpzg5nbg9j,shore,aff-shore
"Shopify","Ecommerce / Online Store",https://shopify.pxf.io/4189861-link?sharedid=4189861,shopify,aff-shopify
"SocialBee","Social Media Management",https://get.socialbee.io/txg9o1sie7g4,socialbee,aff-socialbee
"Snov.io","Sales Intelligence / Email Outreach",https://snov.io?fp_ref=lee13,snov,aff-snov-io
"Spocket","Dropshipping / Ecommerce",https://get.spocket.co/jpv1uwgt4sp1,spocket,aff-spocket
"Switcher Studio","Live Streaming / Video Production",https://start.switcherstudio.com/pqjil7ivf3t7,switcher-studio,aff-switcher-studio
"ThorData","Proxy / Web Data Infrastructure",https://affiliate.thordata.com/eu3nfozhzp5f,thordata,aff-thordata
"Tidio","Live Chat / Customer Support",https://affiliate.tidio.com/9dfzehpzpg2p-8xvu4,tidio,aff-tidio
"Trainual","Employee Training / Knowledge Management",https://start.trainual.com/8kshk4tc5bv4,trainual,aff-trainual
"Uniqode","QR Code / Digital Engagement",,uniqode,aff-uniqode
"UENI.com","Website Builder",https://psc.ueni.com/w640wkjyyhd5,ueni,aff-ueni
"VektorOS","Business / Operations Software",https://partners.vektoros.ai/zg4y82bv06pe,vektoros,aff-vektoros
"Wati.io","WhatsApp Business / Customer Messaging",https://affiliates.wati.io/v2fe9kxh7wq8,wati,aff-wati
"WebCatalog","Productivity / Web App Management",https://try.webcatalog.io/cy80gva63g2w,webcatalog,aff-webcatalog
"WebinarJam & EverWebinar","Webinar Software",https://try.kartra.com/zltrk281rw6t-26ysr,webinarjam-everwebinar,aff-kartra-webinarjam-everwebinar
"Wegic","AI Website Builder",https://try.wegic.ai/4p512poiwlw9,wegic,aff-wegic
"WhatConverts","Lead Tracking / Marketing Analytics",https://partners.whatconverts.com/dmbfqglmddkr,whatconverts,aff-whatconverts
"Writesonic","AI Writing / AI Search",https://writesonic.com?via=lee72,writesonic,aff-writesonic
"Zenzap","Team Communication",https://try.zenzap.co/7rv36pfxdvvy,zenzap,aff-zenzap
"Zypper","Influencer Marketing",https://get.zypper.com/980cl4fisuk1,zypper,aff-zypper
