project,priority,cost_metric,route_or_feature,file,current_behavior,root_cause,recommended_change,estimated_monthly_saving,implementation_effort,risk,confidence,status
lifeos-expatlife-web,P1,Observability Events,Vercel Analytics always-on,apps/expatlife-web/app/AppClientShell.tsx,Analytics outside cookie consent; PostHog+GA also present,Duplicate telemetry,Consent-gate or remove Vercel Analytics,$0.5-1,S,low,MEDIUM,open
lifeos-expatlife-web,P1,Speed Insights Plus Events,Speed Insights Plus,apps/expatlife-web/app/AppClientShell.tsx,Aug billed $0.65 Plus events,Paid SI SKU,Keep Plus off; sample SI if kept,$0-1,S,none,HIGH,open
lifeos-expatlife-web,P2,Image Optimization Cache Writes,remote favicons,apps/expatlife-web/next.config.js,Clearbit/Google favicons optimized,Tiny assets through optimizer,unoptimized for logos/favicons,$0.3-0.5,S,low,HIGH,open
lifeos-expatlife-web,P2,Fluid Active CPU,/netherlands/moving-to-netherlands-from,apps/expatlife-web/app/netherlands/moving-to-netherlands-from/page.tsx,force-dynamic + headers(),High-intent hub always dynamic,Static + client filters,$0.2-0.5,S,low,HIGH,open
hikingwithlee,P0,Build CPU Minutes,main production deploys,vercel.json,12 Sep prod deploys 4 ERROR; 7x commit message vercel fix,No ignoreCommand; agent retry loop,ignoreCommand; local build,$2-4,S,low,HIGH,open
hikingwithlee,P1,Observability Events,Web Analytics / Observability,components/consent/cookie-consent.tsx,$1.18 MTD vs modest traffic,Dashboard Observability + analytics,Preview off; review Observability Plus,$1-2,S,low,MEDIUM,open
hikingwithlee,P1,Image Optimization Transformation,public/images,next.config.ts,882 files AVIF+WebP; 640 in deviceSizes and imageSizes,Duplicate widths,Dedupe sizes; consider WebP-only,$0.3-0.6,S,low,HIGH,open
hikingwithlee,P1,Fluid Active CPU,middleware catch-all,middleware.ts,Host/WP/legacy work on every HTML request,Broad matcher,Exclude js/css/woff/xml; fold host 308 into vercel.json,$0.2-0.5,S,low,MEDIUM,open
hikingwithlee,P2,Fluid Active CPU,tools searchParams,app/(site)/treks/page.tsx,8 public tools await searchParams,Next 15 dynamism,Client islands,$0.1-0.3,S,low,HIGH,open
fluentcopilot,P2,Fluid Active CPU,/app /admin trees,src/app/app/layout.tsx,Entire authenticated tree force-dynamic,Correct for an app; no traffic,Do not add Analytics/SI; add image allow-list before launch,$0,S,none,HIGH,wontfix
architecture-intelligence-prototype,P2,Web Analytics Events,idle prototype,Vercel dashboard,Speed Insights + Web Analytics enabled hasData false,Idle project telemetry,Disable SI and Web Analytics in dashboard,$0,S,none,HIGH,open
account,P0,Pro,team subscription,Vercel billing,Pro $20/month ($9.68 of 17 days),Needed for commercial multi-site Fluid,Keep Pro; do not downgrade to Hobby,$0,S,none,HIGH,wontfix
account,P1,Fast Origin Transfer,unattributed origin,Blob rewrites across apps,$1.64 unattributed origin + $2.20 Blob transfer,Media proxy through Vercel,Direct Blob URLs,included in project Blob rows,M,low,MEDIUM,open
